flight_number,airline_iata,airline_name,origin_iata,origin_city,dest_iata,dest_city,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,status,delay_minutes,distance_km,aircraft_type,origin_weather_code,origin_temp_c,origin_wind_kmh,origin_visibility_km,origin_precip_mm,origin_humidity,dest_weather_code,dest_temp_c,dest_wind_kmh,dest_visibility_km,dest_precip_mm,dest_humidity,weather_severity,origin_weather_severity,dest_weather_severity,hour_of_day,day_of_week,month,is_weekend,is_holiday,congestion_level,origin_congestion,dest_congestion,airline_reliability,historical_delay_rate,is_delayed
VY1169,VY,Vueling,BCN,Barcelona,LHR,London,2025-08-12 15:45:00,2025-08-12 17:11:01,2025-08-12 15:40:00,2025-08-12 17:06:01,on_time,0,1147,B747,cloudy,20.0,10.2,10.0,0.5,50,clear,32.3,9.8,10.5,0.0,53,0.211,0.199,0.211,15,1,8,0,0,0.465,0.524,0.406,0.7,0.071,0
DL1043,DL,Delta Air Lines,DXB,Dubai,ORY,Paris,2025-05-01 13:20:00,2025-05-01 19:53:27,2025-05-01 13:21:00,2025-05-01 19:54:27,on_time,0,5246,B777,clear,17.8,14.4,14.9,0.0,49,cloudy,23.4,14.7,13.4,0.4,72,0.271,0.029,0.271,13,3,5,0,0,0.559,0.456,0.663,0.83,0.064,0
FR3677,FR,Ryanair,JFK,New York,DXB,Dubai,2026-01-20 15:05:00,2026-01-21 04:50:04,2026-01-20 15:07:00,2026-01-21 04:52:04,on_time,0,11001,A350,snow,-11.6,33.8,1.6,2.1,80,cloudy,9.9,8.1,13.0,0.2,49,0.729,0.729,0.29,15,1,1,0,0,0.32,0.556,0.084,0.68,0.24,0
TK4813,TK,Turkish Airlines,CDG,Paris,DXB,Dubai,2025-10-18 16:00:00,2025-10-18 22:32:51,2025-10-18 15:57:00,2025-10-18 22:29:51,on_time,0,5238,A321,clear,34.1,6.0,13.0,0.0,86,clear,22.2,3.6,18.0,0.0,70,0.174,0.174,0.019,16,5,10,1,0,0.277,0.29,0.264,0.77,0.111,0
AA755,AA,American Airlines,FCO,Rome,CDG,Paris,2025-10-01 18:20:00,2025-10-01 19:42:30,2025-10-01 18:15:00,2025-10-01 19:37:30,on_time,0,1100,A350,clear,29.6,2.0,15.0,0.0,85,cloudy,16.6,13.6,9.8,0.2,30,0.227,0.227,0.17,18,2,10,0,0,0.786,0.654,0.919,0.81,0.198,0
DL8036,DL,Delta Air Lines,FCO,Rome,LHR,London,2025-10-19 16:25:00,2025-10-19 18:13:13,2025-10-19 16:29:00,2025-10-19 18:17:13,on_time,0,1443,E190,cloudy,19.6,20.9,14.5,0.4,63,cloudy,11.5,14.0,8.8,0.2,56,0.062,0.0,0.062,16,6,10,1,0,0.569,0.359,0.778,0.83,0.161,0
TK4959,TK,Turkish Airlines,BCN,Barcelona,DXB,Dubai,2025-06-23 19:45:00,2025-06-24 02:13:07,2025-06-23 19:46:00,2025-06-24 02:14:07,on_time,0,5175,A350,clear,30.8,3.9,19.1,0.0,34,fog,16.0,8.1,0.1,0.3,56,0.638,0.0,0.638,19,0,6,0,0,0.346,0.607,0.085,0.77,0.185,0
TK7258,TK,Turkish Airlines,ORY,Paris,JFK,New York,2025-05-25 22:20:00,2025-05-26 05:37:24,2025-05-25 22:22:00,2025-05-26 05:39:24,on_time,0,5832,A330,cloudy,25.5,7.0,6.9,0.4,39,clear,21.6,4.3,19.3,0.0,32,0.185,0.185,0.181,22,6,5,1,0,0.18,0.155,0.206,0.77,0.147,0
FR8715,FR,Ryanair,ORY,Paris,JFK,New York,2025-10-30 17:20:00,2025-10-31 00:37:24,2025-10-30 18:10:00,2025-10-31 01:27:24,delayed,50,5832,B787,cloudy,26.6,11.0,13.4,0.5,50,snow,-2.3,25.9,1.3,11.2,94,0.632,0.093,0.632,17,3,10,0,0,0.443,0.716,0.169,0.68,0.147,1
AF7118,AF,Air France,FCO,Rome,LHR,London,2025-07-19 16:20:00,2025-07-19 18:08:13,2025-07-19 18:14:00,2025-07-19 20:02:13,delayed,114,1443,B777,storm,9.5,56.1,2.5,7.7,55,clear,26.5,5.6,13.1,0.0,64,0.82,0.82,0.0,16,5,7,1,0,0.621,0.634,0.607,0.78,0.161,1
FR1721,FR,Ryanair,DXB,Dubai,JFK,New York,2025-08-18 08:50:00,2025-08-18 22:35:04,2025-08-18 08:45:00,2025-08-18 22:30:04,on_time,0,11001,B747,rain,13.3,39.1,9.0,13.0,86,clear,31.1,0.8,15.4,0.0,48,0.344,0.344,0.056,8,0,8,0,0,0.635,0.809,0.46,0.68,0.146,0
IB6431,IB,Iberia,JFK,New York,LHR,London,2025-09-19 16:30:00,2025-09-19 23:25:30,2025-09-19 17:08:00,2025-09-20 00:03:30,delayed,38,5540,B787,clear,34.0,5.0,16.7,0.0,81,clear,32.8,5.3,19.9,0.0,90,0.102,0.102,0.0,16,4,9,0,0,0.318,0.635,0.0,0.76,0.093,1
U22454,U2,easyJet,LHR,London,JFK,New York,2025-09-01 18:10:00,2025-09-02 01:05:30,2025-09-01 18:05:00,2025-09-02 01:00:30,on_time,0,5540,A350,clear,20.8,0.9,10.7,0.0,62,clear,18.5,3.9,13.0,0.0,95,0.081,0.0,0.081,18,0,9,0,0,0.503,0.848,0.159,0.72,0.068,0
AZ3576,AZ,ITA Airways,ORY,Paris,FCO,Rome,2025-11-01 23:00:00,2025-11-02 00:21:40,2025-11-01 23:06:00,2025-11-02 00:27:40,delayed,6,1089,B787,cloudy,16.8,9.7,8.9,0.2,35,rain,3.4,17.4,4.4,13.3,68,0.47,0.233,0.47,23,5,11,1,0,0.164,0.162,0.166,0.74,0.14,1
AF9534,AF,Air France,FCO,Rome,LHR,London,2025-04-30 05:55:00,2025-04-30 07:43:13,2025-04-30 05:57:00,2025-04-30 07:45:13,on_time,0,1443,B777,cloudy,12.7,6.0,11.5,0.3,33,clear,29.9,3.2,16.7,0.0,85,0.166,0.072,0.166,5,2,4,0,0,0.235,0.127,0.344,0.78,0.161,0
IB3749,IB,Iberia,ORY,Paris,LHR,London,2025-04-20 14:05:00,2025-04-20 14:32:22,2025-04-20 14:07:00,2025-04-20 14:34:22,on_time,0,365,E190,cloudy,9.8,12.8,8.4,0.0,70,clear,19.1,11.3,13.8,0.0,68,0.24,0.016,0.24,14,6,4,1,0,0.549,0.489,0.609,0.76,0.082,0
AF2392,AF,Air France,JFK,New York,BCN,Barcelona,2025-07-23 15:50:00,2025-07-23 23:31:15,2025-07-23 15:54:00,2025-07-23 23:35:15,on_time,0,6150,B737,clear,30.2,0.7,16.6,0.0,51,rain,8.1,29.5,8.7,1.6,59,0.211,0.169,0.211,15,2,7,0,0,0.387,0.619,0.154,0.78,0.234,0
FR8663,FR,Ryanair,DXB,Dubai,JFK,New York,2025-02-09 13:20:00,2025-02-10 03:05:04,2025-02-09 13:25:00,2025-02-10 03:10:04,on_time,0,11001,A330,clear,18.1,3.4,15.6,0.0,88,fog,7.9,3.6,0.8,0.9,69,0.623,0.0,0.623,13,6,2,1,0,0.281,0.457,0.104,0.68,0.146,0
U26007,U2,easyJet,ORY,Paris,CDG,Paris,2025-10-26 17:10:00,2025-10-26 17:12:33,2025-10-26 18:31:00,2025-10-26 18:33:33,delayed,81,34,B787,cloudy,24.3,11.4,11.8,0.4,95,cloudy,7.4,13.4,8.2,0.4,51,0.106,0.0,0.106,17,6,10,1,0,0.809,0.816,0.803,0.72,0.198,1
FR7779,FR,Ryanair,LHR,London,BCN,Barcelona,2025-06-24 08:30:00,2025-06-24 09:56:01,2025-06-24 08:26:00,2025-06-24 09:52:01,on_time,0,1147,B787,cloudy,24.3,10.9,10.6,0.0,86,storm,16.4,39.1,3.4,28.0,41,0.936,0.127,0.936,8,1,6,0,0,0.765,0.928,0.602,0.68,0.134,0
LH2582,LH,Lufthansa,DXB,Dubai,ORY,Paris,2025-04-17 19:25:00,2025-04-18 01:58:27,2025-04-17 19:20:00,2025-04-18 01:53:27,on_time,0,5246,A330,clear,31.4,8.4,14.1,0.0,32,rain,7.5,23.8,4.0,10.2,45,0.226,0.057,0.226,19,3,4,0,0,0.472,0.816,0.128,0.8,0.064,0
AA5242,AA,American Airlines,ORY,Paris,DXB,Dubai,2025-11-21 06:55:00,2025-11-21 13:28:27,2025-11-21 06:55:00,2025-11-21 13:28:27,on_time,0,5246,A350,rain,18.4,32.9,6.0,12.5,87,cloudy,11.5,14.3,10.0,0.2,63,0.379,0.379,0.0,6,4,11,0,0,0.365,0.221,0.509,0.81,0.191,0
BA9119,BA,British Airways,DXB,Dubai,FCO,Rome,2025-11-06 14:50:00,2025-11-06 20:15:43,2025-11-06 14:49:00,2025-11-06 20:14:43,on_time,0,4343,B787,cloudy,5.9,14.0,7.9,0.3,75,cloudy,16.4,6.2,11.2,0.2,79,0.206,0.206,0.039,14,3,11,0,0,0.619,0.326,0.911,0.82,0.055,0
DL1734,DL,Delta Air Lines,LHR,London,DXB,Dubai,2025-10-27 02:10:00,2025-10-27 09:02:16,2025-10-27 02:13:00,2025-10-27 09:05:16,on_time,0,5497,A330,cloudy,27.1,18.7,9.6,0.1,81,clear,17.3,9.5,16.7,0.0,72,0.049,0.038,0.049,2,0,10,0,0,0.419,0.094,0.745,0.83,0.223,0
U23695,U2,easyJet,DXB,Dubai,BCN,Barcelona,2025-10-26 16:50:00,2025-10-26 23:18:07,2025-10-26 16:47:00,2025-10-26 23:15:07,on_time,0,5175,B777,cloudy,23.0,7.0,12.9,0.4,33,cloudy,5.2,13.0,12.4,0.4,34,0.216,0.216,0.175,16,6,10,1,0,0.38,0.573,0.187,0.72,0.112,0
FR8596,FR,Ryanair,BCN,Barcelona,ORY,Paris,2025-11-12 07:40:00,2025-11-12 08:41:57,2025-11-12 07:41:00,2025-11-12 08:42:57,on_time,0,826,A350,storm,21.3,41.5,2.1,29.7,85,clear,33.0,13.8,12.4,0.0,83,0.882,0.882,0.079,7,2,11,0,0,0.454,0.257,0.65,0.68,0.17,0
IB7938,IB,Iberia,ORY,Paris,LHR,London,2026-01-20 12:35:00,2026-01-20 13:02:22,2026-01-20 13:13:00,2026-01-20 13:40:22,delayed,38,365,E190,clear,23.8,11.1,17.7,0.0,57,clear,21.8,0.6,18.4,0.0,34,0.006,0.006,0.0,12,1,1,0,0,0.553,0.486,0.62,0.76,0.082,1
TK906,TK,Turkish Airlines,DXB,Dubai,BCN,Barcelona,2025-05-25 13:55:00,2025-05-25 20:23:07,2025-05-25 13:55:00,2025-05-25 20:23:07,on_time,0,5175,A350,clear,31.4,4.0,13.1,0.0,56,cloudy,12.2,11.2,10.4,0.0,43,0.184,0.052,0.184,13,6,5,1,0,0.691,0.476,0.906,0.77,0.112,0
VY7085,VY,Vueling,LHR,London,FCO,Rome,2025-03-31 10:30:00,2025-03-31 12:18:13,2025-03-31 12:06:00,2025-03-31 13:54:13,delayed,96,1443,B787,rain,18.6,33.3,7.2,11.4,86,clear,27.4,8.1,18.7,0.0,68,0.444,0.444,0.09,10,0,3,0,0,0.777,0.822,0.732,0.7,0.138,1
AZ5917,AZ,ITA Airways,JFK,New York,LHR,London,2025-10-01 14:20:00,2025-10-01 21:15:30,2025-10-01 14:16:00,2025-10-01 21:11:30,on_time,0,5540,E190,cloudy,5.6,20.2,8.1,0.4,84,clear,16.3,3.3,11.3,0.0,57,0.225,0.225,0.046,14,2,10,0,0,0.575,0.698,0.451,0.74,0.093,0
VY5085,VY,Vueling,LHR,London,JFK,New York,2026-01-28 20:45:00,2026-01-29 03:40:30,2026-01-28 20:50:00,2026-01-29 03:45:30,on_time,0,5540,A330,storm,28.0,63.5,3.7,13.2,95,storm,25.0,40.4,1.2,24.8,41,0.986,0.986,0.835,20,2,1,0,0,0.285,0.384,0.187,0.7,0.068,0
DL6469,DL,Delta Air Lines,BCN,Barcelona,ORY,Paris,2025-05-01 10:30:00,2025-05-01 11:31:57,2025-05-01 10:29:00,2025-05-01 11:30:57,on_time,0,826,A330,snow,-0.5,27.1,1.3,8.2,62,clear,23.7,5.8,19.5,0.0,68,0.687,0.687,0.293,10,3,5,0,0,0.683,0.84,0.527,0.83,0.17,0
IB4796,IB,Iberia,FCO,Rome,CDG,Paris,2025-12-21 14:40:00,2025-12-21 16:02:30,2025-12-21 14:36:00,2025-12-21 15:58:30,on_time,0,1100,A321,rain,8.4,12.5,7.4,4.7,44,clear,15.1,0.2,11.6,0.0,95,0.33,0.33,0.042,14,6,12,1,0,0.5,0.577,0.423,0.76,0.198,0
LH3397,LH,Lufthansa,ORY,Paris,LHR,London,2026-01-08 13:55:00,2026-01-08 14:22:22,2026-01-08 13:53:00,2026-01-08 14:20:22,on_time,0,365,A320,clear,32.8,10.6,12.6,0.0,92,snow,-14.6,34.9,4.0,14.9,46,0.505,0.049,0.505,13,3,1,0,0,0.559,0.675,0.444,0.8,0.082,0
AZ5235,AZ,ITA Airways,BCN,Barcelona,ORY,Paris,2025-12-22 10:55:00,2025-12-22 11:56:57,2025-12-22 12:14:00,2025-12-22 13:15:57,delayed,79,826,B747,rain,3.6,31.8,7.1,10.9,53,storm,17.1,52.6,1.5,31.1,83,0.555,0.505,0.555,10,0,12,0,0,0.587,0.686,0.487,0.74,0.17,1
EK7511,EK,Emirates,ORY,Paris,LHR,London,2025-02-17 07:10:00,2025-02-17 07:37:22,2025-02-17 07:39:00,2025-02-17 08:06:22,delayed,29,365,E190,cloudy,8.1,19.0,8.0,0.3,35,cloudy,21.7,24.4,11.0,0.4,92,0.108,0.108,0.078,7,0,2,0,0,0.373,0.462,0.284,0.88,0.082,1
EK8121,EK,Emirates,CDG,Paris,LHR,London,2025-12-23 10:30:00,2025-12-23 10:55:57,2025-12-23 10:28:00,2025-12-23 10:53:57,on_time,0,346,A330,rain,5.3,18.8,7.3,4.0,74,rain,19.2,37.2,6.0,5.3,78,0.502,0.434,0.502,10,1,12,0,0,0.77,0.894,0.645,0.88,0.23,0
BA3644,BA,British Airways,LHR,London,ORY,Paris,2025-11-18 15:25:00,2025-11-18 15:52:22,2025-11-18 15:20:00,2025-11-18 15:47:22,on_time,0,365,B787,clear,29.7,9.6,18.9,0.0,75,cloudy,19.7,14.7,9.9,0.4,63,0.038,0.0,0.038,15,1,11,0,0,0.521,0.388,0.654,0.82,0.213,0
EK3924,EK,Emirates,JFK,New York,CDG,Paris,2025-07-22 10:55:00,2025-07-22 18:12:28,2025-07-22 10:53:00,2025-07-22 18:10:28,on_time,0,5833,A321,clear,29.4,3.1,19.4,0.0,66,cloudy,25.1,13.0,7.3,0.3,59,0.214,0.174,0.214,10,1,7,0,0,0.746,0.738,0.754,0.88,0.233,0
LH4843,LH,Lufthansa,JFK,New York,LHR,London,2025-08-13 17:55:00,2025-08-14 00:50:30,2025-08-13 17:50:00,2025-08-14 00:45:30,on_time,0,5540,A320,fog,1.5,6.9,0.7,0.8,49,fog,4.7,7.8,1.0,0.5,70,0.697,0.62,0.697,17,2,8,0,0,0.432,0.662,0.203,0.8,0.093,0
LH4198,LH,Lufthansa,DXB,Dubai,JFK,New York,2025-06-05 12:50:00,2025-06-06 02:35:04,2025-06-05 12:46:00,2025-06-06 02:31:04,on_time,0,11001,A350,clear,23.7,1.4,11.9,0.0,77,cloudy,7.3,18.9,10.3,0.1,69,0.174,0.122,0.174,12,3,6,0,0,0.338,0.58,0.096,0.8,0.146,0
U2137,U2,easyJet,LHR,London,DXB,Dubai,2025-08-31 08:05:00,2025-08-31 14:57:16,2025-08-31 08:08:00,2025-08-31 15:00:16,on_time,0,5497,A330,fog,17.0,0.1,1.6,0.1,88,clear,28.4,9.5,13.2,0.0,72,0.717,0.717,0.053,8,6,8,1,0,0.622,0.835,0.409,0.72,0.223,0
FR5448,FR,Ryanair,BCN,Barcelona,LHR,London,2026-01-03 08:55:00,2026-01-03 10:21:01,2026-01-03 08:50:00,2026-01-03 10:16:01,on_time,0,1147,A330,cloudy,6.7,23.8,7.6,0.4,31,cloudy,9.2,6.1,14.6,0.2,72,0.06,0.048,0.06,8,5,1,1,0,0.775,0.892,0.658,0.68,0.071,0
TK2323,TK,Turkish Airlines,ORY,Paris,LHR,London,2025-03-21 07:10:00,2025-03-21 07:37:22,2025-03-21 09:28:00,2025-03-21 09:55:22,delayed,138,365,A330,snow,-14.5,17.3,1.2,7.7,62,rain,13.8,10.6,9.9,6.6,61,0.745,0.745,0.273,7,4,3,0,0,0.354,0.381,0.327,0.77,0.082,1
AF9535,AF,Air France,JFK,New York,CDG,Paris,2025-07-14 09:45:00,2025-07-14 17:02:28,2025-07-14 10:43:00,2025-07-14 18:00:28,delayed,58,5833,A321,clear,17.6,10.0,10.5,0.0,33,fog,13.3,7.6,1.7,0.1,56,0.439,0.0,0.439,9,0,7,0,0,0.715,0.854,0.576,0.78,0.233,1
AA181,AA,American Airlines,ORY,Paris,JFK,New York,2025-05-01 11:40:00,2025-05-01 18:57:24,2025-05-01 11:41:00,2025-05-01 18:58:24,on_time,0,5832,A330,cloudy,13.7,24.5,13.2,0.1,62,storm,22.9,46.7,1.9,11.5,81,0.728,0.206,0.728,11,3,5,0,0,0.56,0.511,0.609,0.81,0.147,0
U23005,U2,easyJet,JFK,New York,FCO,Rome,2025-09-09 12:20:00,2025-09-09 20:54:52,2025-09-09 12:20:00,2025-09-09 20:54:52,on_time,0,6865,E190,snow,-12.0,6.6,5.1,19.1,61,rain,15.1,24.2,9.3,12.5,65,0.797,0.797,0.457,12,1,9,0,0,0.567,0.59,0.543,0.72,0.232,0
IB1092,IB,Iberia,LHR,London,ORY,Paris,2025-08-27 19:05:00,2025-08-27 19:32:22,2025-08-27 19:08:00,2025-08-27 19:35:22,on_time,0,365,E190,clear,21.7,2.7,13.8,0.0,77,clear,31.9,4.0,17.6,0.0,50,0.135,0.135,0.016,19,2,8,0,0,0.799,0.768,0.831,0.76,0.213,0
LH2185,LH,Lufthansa,LHR,London,DXB,Dubai,2025-03-26 09:25:00,2025-03-26 16:17:16,2025-03-26 09:26:00,2025-03-26 16:18:16,on_time,0,5497,E190,cloudy,10.0,13.1,11.2,0.2,66,rain,20.6,21.8,8.0,10.3,73,0.269,0.233,0.269,9,2,3,0,0,0.609,0.715,0.504,0.8,0.223,0
TK5408,TK,Turkish Airlines,DXB,Dubai,JFK,New York,2025-06-08 08:15:00,2025-06-08 22:00:04,2025-06-08 08:13:00,2025-06-08 21:58:04,on_time,0,11001,A380,clear,32.5,10.6,19.9,0.0,49,cloudy,15.9,8.1,10.1,0.3,83,0.21,0.107,0.21,8,6,6,1,0,0.597,0.687,0.507,0.77,0.146,0
LH8293,LH,Lufthansa,ORY,Paris,BCN,Barcelona,2025-08-30 14:40:00,2025-08-30 15:41:57,2025-08-30 14:45:00,2025-08-30 15:46:57,on_time,0,826,A321,cloudy,22.2,9.9,11.2,0.2,42,clear,17.9,8.5,15.9,0.0,39,0.132,0.132,0.012,14,5,8,1,0,0.441,0.57,0.312,0.8,0.208,0
U2412,U2,easyJet,CDG,Paris,DXB,Dubai,2026-01-02 08:35:00,2026-01-02 15:07:51,2026-01-02 08:38:00,2026-01-02 15:10:51,on_time,0,5238,B787,rain,4.7,17.3,6.5,3.9,46,clear,28.8,11.6,17.7,0.0,65,0.372,0.372,0.0,8,4,1,0,0,0.618,0.828,0.409,0.72,0.111,0
TK3460,TK,Turkish Airlines,ORY,Paris,DXB,Dubai,2025-06-21 14:05:00,2025-06-21 20:38:27,2025-06-21 14:06:00,2025-06-21 20:39:27,on_time,0,5246,A350,cloudy,8.0,7.4,8.6,0.4,68,clear,22.9,4.8,12.8,0.0,51,0.125,0.125,0.0,14,5,6,1,0,0.437,0.603,0.271,0.77,0.191,0
VY7639,VY,Vueling,DXB,Dubai,CDG,Paris,2025-04-13 17:45:00,2025-04-14 00:17:51,2025-04-13 17:49:00,2025-04-14 00:21:51,on_time,0,5238,A321,clear,32.2,8.8,19.0,0.0,80,cloudy,16.6,18.3,14.9,0.1,82,0.101,0.0,0.101,17,6,4,1,0,0.456,0.804,0.108,0.7,0.11,0
VY9686,VY,Vueling,DXB,Dubai,LHR,London,2026-01-11 03:50:00,2026-01-11 10:42:16,2026-01-11 03:49:00,2026-01-11 10:41:16,on_time,0,5497,A320,rain,19.9,16.7,5.3,9.4,34,clear,17.1,5.2,17.7,0.0,81,0.308,0.308,0.0,3,6,1,1,0,0.346,0.094,0.599,0.7,0.07,0
DL8187,DL,Delta Air Lines,BCN,Barcelona,CDG,Paris,2025-05-27 09:20:00,2025-05-27 10:24:21,2025-05-27 09:21:00,2025-05-27 10:25:21,on_time,0,858,E190,cloudy,10.0,23.4,9.8,0.2,56,cloudy,17.3,7.0,6.4,0.3,63,0.231,0.231,0.153,9,1,5,0,0,0.736,0.572,0.9,0.83,0.203,0
BA6932,BA,British Airways,ORY,Paris,CDG,Paris,2025-06-09 20:05:00,2025-06-09 20:07:33,2025-06-09 20:06:00,2025-06-09 20:08:33,on_time,0,34,A321,clear,17.1,0.2,12.8,0.0,40,fog,15.3,6.6,1.9,0.9,34,0.504,0.002,0.504,20,0,6,0,0,0.421,0.498,0.344,0.82,0.198,0
AF7932,AF,Air France,LHR,London,FCO,Rome,2025-03-10 19:45:00,2025-03-10 21:33:13,2025-03-10 20:32:00,2025-03-10 22:20:13,delayed,47,1443,E190,clear,15.8,4.4,11.2,0.0,55,clear,21.0,3.9,11.6,0.0,70,0.155,0.155,0.0,19,0,3,0,0,0.526,0.738,0.315,0.78,0.138,1
VY7701,VY,Vueling,FCO,Rome,CDG,Paris,2025-11-30 07:40:00,2025-11-30 09:02:30,2025-11-30 07:39:00,2025-11-30 09:01:30,on_time,0,1100,A320,storm,16.4,34.0,4.1,8.5,41,cloudy,9.7,7.7,12.3,0.3,69,0.753,0.753,0.268,7,6,11,1,0,0.613,0.561,0.664,0.7,0.198,0
U24926,U2,easyJet,ORY,Paris,FCO,Rome,2026-01-02 06:05:00,2026-01-02 07:26:40,2026-01-02 06:06:00,2026-01-02 07:27:40,on_time,0,1089,B747,fog,2.1,8.4,1.0,0.6,70,cloudy,26.5,6.5,14.4,0.1,85,0.513,0.513,0.245,6,4,1,0,0,0.273,0.319,0.226,0.72,0.14,0
BA5597,BA,British Airways,ORY,Paris,FCO,Rome,2025-06-03 14:05:00,2025-06-03 15:26:40,2025-06-03 14:01:00,2025-06-03 15:22:40,on_time,0,1089,A350,cloudy,5.9,17.7,8.7,0.5,78,storm,30.0,38.5,3.6,9.2,66,0.844,0.287,0.844,14,1,6,0,0,0.398,0.275,0.52,0.82,0.14,0
AZ7743,AZ,ITA Airways,JFK,New York,CDG,Paris,2025-12-03 16:50:00,2025-12-04 00:07:28,2025-12-03 16:46:00,2025-12-04 00:03:28,on_time,0,5833,E190,fog,3.3,0.7,1.1,0.8,73,cloudy,9.0,18.1,12.7,0.4,30,0.515,0.515,0.094,16,2,12,0,0,0.342,0.469,0.216,0.74,0.233,0
TK6090,TK,Turkish Airlines,DXB,Dubai,FCO,Rome,2025-12-12 09:40:00,2025-12-12 15:05:43,2025-12-12 09:38:00,2025-12-12 15:03:43,on_time,0,4343,B737,cloudy,26.0,12.2,9.5,0.1,58,clear,22.4,8.9,16.3,0.0,85,0.152,0.152,0.0,9,4,12,0,0,0.547,0.644,0.45,0.77,0.055,0
LH4596,LH,Lufthansa,BCN,Barcelona,DXB,Dubai,2025-04-16 19:10:00,2025-04-17 01:38:07,2025-04-16 19:15:00,2025-04-17 01:43:07,on_time,0,5175,A321,cloudy,15.3,19.5,10.1,0.2,47,clear,23.1,0.4,13.8,0.0,32,0.362,0.362,0.223,19,2,4,0,0,0.494,0.812,0.175,0.8,0.185,0
AF2405,AF,Air France,BCN,Barcelona,ORY,Paris,2025-08-13 13:30:00,2025-08-13 14:31:57,2025-08-13 13:33:00,2025-08-13 14:34:57,on_time,0,826,A320,clear,32.2,3.9,17.9,0.0,43,cloudy,27.3,24.6,9.7,0.3,37,0.142,0.0,0.142,13,2,8,0,0,0.46,0.47,0.45,0.78,0.17,0
EK9783,EK,Emirates,LHR,London,DXB,Dubai,2025-05-10 13:05:00,2025-05-10 19:57:16,2025-05-10 13:10:00,2025-05-10 20:02:16,delayed,5,5497,E190,clear,17.4,13.1,16.6,0.0,48,cloudy,9.0,8.1,6.1,0.1,71,0.29,0.29,0.032,13,5,5,1,0,0.787,0.597,0.978,0.88,0.223,1
AF8793,AF,Air France,JFK,New York,CDG,Paris,2025-06-20 06:55:00,2025-06-20 14:12:28,2025-06-20 06:52:00,2025-06-20 14:09:28,on_time,0,5833,E190,clear,30.0,4.0,16.1,0.0,77,cloudy,21.2,23.7,9.1,0.0,70,0.168,0.117,0.168,6,4,6,0,0,0.469,0.395,0.543,0.78,0.233,0
AZ4074,AZ,ITA Airways,ORY,Paris,CDG,Paris,2025-06-29 07:55:00,2025-06-29 07:57:33,2025-06-29 07:55:00,2025-06-29 07:57:33,on_time,0,34,A380,storm,28.6,48.0,3.0,39.3,89,fog,2.3,5.4,1.7,0.0,68,0.831,0.831,0.609,7,6,6,1,0,0.173,0.201,0.145,0.74,0.198,0
IB3737,IB,Iberia,CDG,Paris,FCO,Rome,2025-04-06 18:40:00,2025-04-06 20:02:30,2025-04-06 18:41:00,2025-04-06 20:03:30,on_time,0,1100,B737,clear,30.2,1.4,16.6,0.0,82,cloudy,21.9,17.6,11.0,0.1,95,0.112,0.112,0.097,18,6,4,1,0,0.724,0.692,0.757,0.76,0.116,0
AA5325,AA,American Airlines,LHR,London,FCO,Rome,2026-01-30 22:50:00,2026-01-31 00:38:13,2026-01-30 22:45:00,2026-01-31 00:33:13,on_time,0,1443,B737,cloudy,27.9,14.3,11.3,0.1,48,storm,21.7,75.2,2.8,37.6,60,0.798,0.147,0.798,22,4,1,0,0,0.357,0.329,0.385,0.81,0.138,0
IB7131,IB,Iberia,DXB,Dubai,JFK,New York,2025-10-11 18:45:00,2025-10-12 08:30:04,2025-10-11 18:48:00,2025-10-12 08:33:04,on_time,0,11001,A320,clear,26.4,10.5,10.2,0.0,53,cloudy,24.2,17.1,9.9,0.3,68,0.224,0.097,0.224,18,5,10,1,0,0.676,0.968,0.384,0.76,0.146,0
TK5960,TK,Turkish Airlines,LHR,London,CDG,Paris,2025-02-25 11:30:00,2025-02-25 11:55:57,2025-02-25 12:30:00,2025-02-25 12:55:57,delayed,60,346,A350,cloudy,15.6,9.7,12.8,0.2,35,fog,2.6,4.1,1.9,0.4,38,0.397,0.265,0.397,11,1,2,0,0,0.615,0.681,0.548,0.77,0.11,1
U22407,U2,easyJet,FCO,Rome,CDG,Paris,2025-06-24 08:55:00,2025-06-24 10:17:30,2025-06-24 09:09:00,2025-06-24 10:31:30,delayed,14,1100,A380,clear,23.0,9.2,16.4,0.0,67,clear,30.5,7.5,19.1,0.0,31,0.036,0.036,0.0,8,1,6,0,0,0.842,0.847,0.837,0.72,0.198,1
LH344,LH,Lufthansa,ORY,Paris,JFK,New York,2025-10-21 00:00:00,2025-10-21 07:17:24,2025-10-21 00:01:00,2025-10-21 07:18:24,on_time,0,5832,A330,clear,20.5,6.8,11.3,0.0,72,cloudy,18.8,11.6,9.0,0.2,33,0.199,0.0,0.199,0,1,10,0,0,0.255,0.218,0.292,0.8,0.147,0
IB2390,IB,Iberia,JFK,New York,ORY,Paris,2025-09-20 06:15:00,2025-09-20 13:32:24,2025-09-20 06:56:00,2025-09-20 14:13:24,delayed,41,5832,E190,rain,7.2,14.3,8.6,10.5,67,cloudy,24.5,11.4,10.8,0.4,79,0.403,0.403,0.077,6,5,9,1,0,0.273,0.21,0.335,0.76,0.193,1
